,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Caldwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.37608782744945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.118945381981746,0.0,0.0,0.0,29.60707718447032,0.0,0.0,28.75116258033554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68476587930152,0.0,0.0,0.0,0.0,30.493618593940308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2073466545747
Cameron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29229116691123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.318470319887524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24016041853893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catahoula,0.0,0.0,0.0,0.0,41.65341847411933,0.0,0.0,0.0,0.0,0.0,33.37608782744945,0.0,0.0,0.0,19.477354779456736,0.0,0.0,0.0,0.0,0.0,33.75534610232527,0.0,0.0,0.0,0.0,0.0,0.0,18.48726512010849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73156384719007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claiborne,0.0,0.0,0.0,0.0,0.0,0.0,32.94733035974328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.57119559226608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.13643252587375,0.0,0.0,0.0,21.133504996710528,0.0,0.0,0.0,0.0
Concordia,0.0,0.0,0.0,0.0,33.25008743025565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.477354779456736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.78550455444229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.179162254537864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.12223295854365,0.0
De Soto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.170289297878135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.08630050814704,0.0,0.0,0.0,0.0,0.0,23.464722966832813,0.0,35.521013266976766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Baton Rouge,0.0,0.0,25.548779705427183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.344202822344787,0.0,0.0,0.0,0.0,24.516870081695455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.955403275331463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.132478156562996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.934988426404518,0.0,0.0,0.0
East Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.368964572482014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.69740376955513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.478642112226876,0.0,0.0
East Feliciana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.344202822344787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.990435579235825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.72303880965181,0.0,22.38401161730571,0.0
Evangeline,30.19480272622257,25.66168890955902,0.0,0.0,33.9179415119471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.024522712504954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22740186930607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45920608155046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
